**** All Elevator Calls (time,src,dest,state,elev dt) stage 3 ****
Elevator call,15.749018245415527,0,-1,2,0
Elevator call,29.795724992354963,0,13,2,0
Elevator call,61.04837839712013,-2,15,1,0
Elevator call,67.39684559916532,0,12,2,0
Elevator call,72.32053834730914,0,11,2,0
Elevator call,75.45009626287265,-2,0,1,0
Elevator call,79.5386026857368,0,-1,2,0
Elevator call,85.05084296434165,0,17,2,0
Elevator call,99.09729234442648,0,11,2,0
Elevator call,104.82846934416693,0,4,2,0
Elevator call,114.81417324516474,0,8,2,0
Elevator call,132.22282787251766,18,-1,2,0
Elevator call,158.57843474073547,0,-1,1,0
Elevator call,198.24467886016964,0,1,1,0
Elevator call,215.59051445419368,-2,11,1,0
Elevator call,221.97598265680836,0,-2,1,0
Elevator call,228.54160571475745,5,-2,1,0
Elevator call,269.20102863151715,0,11,1,0
Elevator call,282.3742556797197,13,11,1,0
Elevator call,285.98693024600857,-1,-2,1,0
Elevator call,307.87547983371155,6,5,1,0
Elevator call,310.61716965870755,10,13,1,0
Elevator call,312.0106401629912,9,0,1,0
Elevator call,315.10202800168577,-1,-2,1,0
Elevator call,326.89462213255365,0,-1,1,0
Elevator call,328.356698884342,-1,-2,1,0
Elevator call,356.7750171885598,-2,0,1,0
Elevator call,369.88592756734556,0,-1,1,0
Elevator call,374.7234961849488,0,4,1,0
Elevator call,374.8932447072923,0,12,1,0
Elevator call,393.16870473647714,-1,0,1,0
Elevator call,411.8124634838655,20,0,2,0
Elevator call,438.99163815922134,-1,14,1,0
Elevator call,447.93205545529304,0,16,1,0
Elevator call,451.3692847322909,-1,19,1,0
Elevator call,452.03633893661413,-2,5,1,0
Elevator call,468.0898444148602,3,4,1,0
Elevator call,468.8096805917712,-2,11,1,0
Elevator call,473.7625230253907,0,16,1,0
Elevator call,475.6592720845995,-1,19,1,0
Elevator call,481.281534942201,-2,4,1,0
Elevator call,494.9607965395985,0,1,1,0
Elevator call,496.6254987576124,0,2,1,0
Elevator call,499.05586101531685,0,5,1,0
Elevator call,505.16613839243473,14,0,1,0
Elevator call,505.6566422952949,0,-2,1,0
Elevator call,518.0880901967789,16,17,1,0
Elevator call,540.3602365444688,-2,0,1,0
Elevator call,546.6587095561388,12,-1,1,0
Elevator call,552.3403654341223,0,9,1,0
Elevator call,559.0984936097279,0,5,1,0
Elevator call,589.0230372565832,-1,0,1,0
Elevator call,595.490775913092,-1,5,1,0
Elevator call,597.5318029103412,-2,10,1,0
Elevator call,607.5990041120776,0,5,1,0
Elevator call,611.224500217684,-2,1,1,0
Elevator call,612.0358635006885,0,6,1,0
Elevator call,613.9293840790681,-1,4,1,0
Elevator call,616.3622393479691,-2,2,1,0
Elevator call,623.189995332772,-1,19,1,0
Elevator call,624.9698485206718,-2,14,1,0
Elevator call,629.4378654758448,0,-2,1,0
Elevator call,651.3868818369699,-2,0,1,0
Elevator call,670.989016205667,0,12,1,0
Elevator call,673.6204302245446,-1,-2,1,0
Elevator call,675.8277544680782,-1,-2,1,0
Elevator call,705.2713073876516,0,15,1,0
Elevator call,711.129308865326,-2,14,1,0
